"DRXFDCD","DRXFCSD","DRXFCLD",
"11720804.0","AMERICA'S STORE BRAND SOY,INF FORM, FR LIQ CONC,W/TAP WATER","America's Store Brand Soy, infant formula, prepared from liquid concentrate, made with tap water",
"11720805.0","AMERICA'S STORE BRAND SOY,INF FORM,FR LIQ CONC,W/BOT WATER","America's Store Brand Soy, infant formula, prepared from liquid concentrate, made with plain bottled water",
"11720806.0","AMERICA'S STORE BRAND SOY,INF FORM,FR LIQ CONC,W/BABY WATER","America's Store Brand Soy, infant formula, prepared from liquid concentrate, made with baby water",
"11720807.0","AMERICA'S STORE BRAND SOY,INF FORM,PREP FR PDR,W/TAP WATER","America's Store Brand Soy, infant formula, prepared from powder, made with tap water",
"11720808.0","AMERICA'S STORE BRAND SOY,INF FORM,PREP FR PDR,W/BOT WATER","America's Store Brand Soy, infant formula, prepared from powder, made with plain bottled water",
"11720809.0","AMERICA'S STORE BRAND SOY,INF FORM,PREP FR PDR,W/BABY WATER","America's Store Brand Soy, infant formula, prepared from powder, made with baby water",
"11740310.0","ENFAMIL NUTRAMIGEN LIPIL, INFANT FORMULA, NS AS TO FORM","Enfamil Nutramigen LIPIL, infant formula, NS as to form",
"11740311.0","ENFAMIL NUTRAMIGEN LIPIL, INFANT FORMULA, READY-TO-FEED","Enfamil Nutramigen LIPIL, infant formula, ready-to-feed",
"11740312.0","ENFAMIL NUTRAMIGEN LIPIL,INF FORM,PREP FR LIQ CONC,W/WAT,NFS","Enfamil Nutramigen LIPIL, infant formula, prepared from liquid concentrate, made with water, NFS",
"11740313.0","ENFAMIL NUTRAMIGEN LIPIL, INF FORM, PREP FR PDR, W/WATER,NFS","Enfamil Nutramigen LIPIL, infant formula, prepared from powder, made with water, NFS",
"11740314.0","ENFAMIL NUTRAMIGEN LIPIL,INF FORM,FR LIQ CONC,W/TAP WATER","Enfamil Nutramigen LIPIL, infant formula, prepared from liquid concentrate, made with tap water",
"11740315.0","ENFAMIL NUTRAMIGEN LIPIL,INF FORM,FR LIQ CONC,W/BOT WATER","Enfamil Nutramigen LIPIL, infant formula, prepared from liquid concentrate, made with plain bottled water",
"11740316.0","ENFAMIL NUTRAMIGEN LIPIL,INF FORM,FR LIQ CONC,W/BABY WATER","Enfamil Nutramigen LIPIL, infant formula, prepared from liquid concentrate, made with baby water",
"11740317.0","ENFAMIL NUTRAMIGEN LIPIL, INF FORM, PREP FR PDR, W/TAP WATER","Enfamil Nutramigen LIPIL, infant formula, prepared from powder, made with tap water",
"11740318.0","ENFAMIL NUTRAMIGEN LIPIL, INF FORM, PREP FR PDR, W/BOT WATER","Enfamil Nutramigen LIPIL, infant formula, prepared from powder, made with plain bottled water",
"11740319.0","ENFAMIL NUTRAMIGEN LIPIL, INF FORM, PREP FR PDR, W/BABY WATR","Enfamil Nutramigen LIPIL, infant formula, prepared from powder, made with baby water",
"11740320.0","ENFAMIL NUTRAMIGEN AA LIPIL, INFANT FORMULA, NS AS TO FORM","Enfamil Nutramigen AA LIPIL, infant formula, NS as to form",
"11740323.0","ENFAMIL NUTRAMIGEN AA LIPIL,INF FORM,PREP FR PDR,W/WATER,NFS","Enfamil Nutramigen AA LIPIL, infant formula, prepared from powder, made with water, NFS",
"11740327.0","ENFAMIL NUTRAMIGEN AA LIPIL,INF FORM,PREP FR PDR,W/TAP WATER","Enfamil Nutramigen AA LIPIL, infant formula, prepared from powder, made with tap water",
"11740328.0","ENFAMIL NUTRAMIGEN AA LIPIL,INF FORM,PREP FR PDR,W/BOT WATER","Enfamil Nutramigen AA LIPIL, infant formula, prepared from powder, made with plain bottled water",
"11740329.0","ENFAMIL NUTRAMIGEN AA LIPIL,INF FORM,PREP FR PDR,W/BABY  WAT","Enfamil Nutramigen AA LIPIL, infant formula, prepared from powder, made with baby water",
"11740400.0","ENFAMIL PREGESTIMIL LIPIL, INFANT FORMULA, NS AS TO FORM","Enfamil Pregestimil LIPIL, infant formula, NS as to form",
"11740401.0","ENFAMIL PREGESTIMIL LIPIL, INFANT FORMULA, READY-TO-FEED","Enfamil Pregestimil LIPIL, infant formula, ready-to-feed",
"11740403.0","ENFAMIL PREGESTIMIL LIPIL,INF FORM,PREP FR PDR, W/WATER,NFS","Enfamil Pregestimil LIPIL, infant formula, prepared from powder, made with water, NFS",
"11740407.0","ENFMAIL PREGESTIMIL LIPIL,INF FORM,PREP FR PDR, W/TAP WATER","Enfmail Pregestimil LIPIL, infant formula, prepared from powder, made with tap water",
"11740408.0","ENFMAIL PREGESTIMIL LIPIL,INF FORM,PREP FR PDR, W/BOT WATER","Enfmail Pregestimil LIPIL, infant formula, prepared from powder, made with plain bottled water",
"11740409.0","ENFMAIL PREGESTIMIL LIPIL,INF FORM,PREP FR PDR, W/BABY WATER","Enfmail Pregestimil LIPIL, infant formula, prepared from powder, made with baby water",
"11740510.0","ENFAMIL PREMATURE LIPIL 20, LOW IRON, INF FORMULA, NS FORM","Enfamil Premature LIPIL 20, low iron, infant formula, NS as to form",
"11740511.0","ENFAMIL PREMATURE LIPIL 20, LOW IRON, INFANT FORMULA, RTF","Enfamil Premature LIPIL 20, low iron, infant formula, ready-to-feed",
"11740520.0","ENFAMIL PREMATURE LIPIL 20, W/IRON, INFANT FORMULA, NS FORM","Enfamil Premature LIPIL 20, with iron, infant formula, NS as to form",
"11740521.0","ENFAMIL PREMATURE LIPIL 20, WITH IRON, INFANT FORMULA, RTF","Enfamil Premature LIPIL 20, with iron, infant formula, ready-to-feed",
"11740540.0","ENFAMIL PREMATURE LIPIL 24, LOW IRON, INF FORMULA, NS FORM","Enfamil Premature LIPIL 24, low iron, infant formula, NS as to form",
"11740541.0","ENFAMIL PREMATURE LIPIL 24, LOW IRON, INFANT FORMULA, RTF","Enfamil Premature LIPIL 24, low iron, infant formula, ready-to-feed",
"11740550.0","ENFAMIL PREMATURE LIPIL 24, W/IRON, INFANT FORMULA, NS FORM","Enfamil Premature LIPIL 24, with iron, infant formula, NS as to form",
"11740551.0","ENFAMIL PREMATURE LIPIL 24, WITH IRON, INFANT FORMULA, RTF","Enfamil Premature LIPIL 24, with iron, infant formula, ready-to-feed",
"11810000.0","MILK, DRY, NOT RECONSTITUTED, NS AS TO FAT CONTENT","Milk, dry, not reconstituted, NS as to fat content",
"11811000.0","MILK, DRY, NOT RECONSTITUTED, WHOLE","Milk, dry, not reconstituted, whole",
"11812000.0","MILK, DRY, NOT RECONSTITUTED, LOW FAT (1%)","Milk, dry, not reconstituted, low fat (1%)",
"11813000.0","MILK, DRY, NOT RECONSTITUTED, FAT FREE (SKIM)","Milk, dry, not reconstituted, fat free (skim)",
"11825000.0","WHEY, SWEET, DRY","Whey, sweet, dry",
"11830100.0","HOT CHOCOLATE / COCOA, DRY MIX, NOT RECONSTITUTED","Hot chocolate / Cocoa, dry mix, not reconstituted",
"11830115.0","HOT CHOC, DRY MIX, NO SUGAR ADDED, NOT RECONSTITUTED","Hot chocolate / Cocoa, dry mix, no sugar added, not reconstituted",
"11830150.0","COCOA POWDER, NOT RECONSTITUTED (NO DRY MILK)","Cocoa powder, not reconstituted (no dry milk)",
"11830160.0","CHOCOLATE BEVERAGE POWDER, DRY MIX, NOT RECONSTITUTED","Chocolate beverage powder, dry mix, not reconstituted",
"11830165.0","CHOCOLATE BEVERAGE POWDER, REDUCED SUGAR, DRY MIX, NOT RECON","Chocolate beverage powder, reduced sugar, dry mix, not reconstituted",
"11830260.0","MILK, MALTED, DRY MIX, NOT RECONSTITUTED","Milk, malted, dry mix, not reconstituted",
"11830400.0","STRAWBERRY BEVERAGE POWDER, DRY MIX, NOT RECONSTITUTED","Strawberry beverage powder, dry mix, not reconstituted",
"12100100.0","CREAM, FLUID, NS AS TO LIGHT, HEAVY OR HALF & HALF","Cream, NS as to light, heavy, or half and half",
"12110100.0","CREAM, LIGHT, FLUID (INCL COFFEE CRM, TABLE CREAM)","Cream, light, fluid",
"12110300.0","CREAM, LIGHT, WHIPPED, UNSWEETENED","Cream, light, whipped, unsweetened",
"12120100.0","CREAM, HALF & HALF","Cream, half and half",
"12120105.0","CREAM, HALF & HALF, LOW FAT","Cream, half and half, low fat",
"12120110.0","CREAM, HALF & HALF, FAT FREE","Cream, half and half, fat free",
"12130100.0","CREAM, HEAVY, FLUID","Cream, heavy, fluid",
"12130200.0","CREAM, HEAVY, WHIPPED, UNSWEETENED","Cream, heavy, whipped, unsweetened",
"12140000.0","CREAM, HEAVY, WHIPPED, SWEETENED","Cream, heavy, whipped, sweetened",
"12140100.0","CREAM, WHIPPED, PRESSURIZED CONTAINER","Cream, whipped, pressurized container",
"12140105.0","CREAM, WHIPPED, PRESSURIZED CONTAINER, LIGHT","Cream, whipped, pressurized container, light",
"12140110.0","WHIPPED TOPPING, DAIRY BASED, FAT FREE, PRESSURIZED CONTAINR","Whipped topping, dairy based, fat free, pressurized container",
"12200100.0","CREAM SUBSTITUTE, NS AS TO FROZEN,LIQUID OR POWDER","Cream substitute, NS as to frozen, liquid, or powdered",
"12210100.0","CREAM SUBSTITUTE, FROZEN","Cream substitute, frozen",
"12210200.0","CREAM SUBSTITUTE, LIQUID (INCLUDE COFFEE WHITNER)","Cream substitute, liquid",
"12210210.0","CREAM SUBSTITUTE, FLAVORED, LIQUID","Cream substitute, flavored, liquid",
"12210250.0","CREAM SUBSTITUTE, LIGHT, LIQUID","Cream substitute, light, liquid",
"12210255.0","CREAM SUBSTITUTE, LIGHT, FLAVORED, LIQUID","Cream substitute, light, flavored, liquid",
"12210260.0","CREAM SUBSTITUTE, FAT FREE, LIQUID","Cream substitute, fat free, liquid",
"12210270.0","CREAM SUBSTITUTE, FAT FREE, FLAVORED, LIQUID","Cream substitute, fat free, flavored, liquid",
"12210305.0","CREAM SUBSTITUTE, SUGAR FREE, LIQUID","Cream substitute, sugar free, liquid",
"12210310.0","CREAM SUBSTITUTE, SUGAR FREE, FLAVORED, LIQUID","Cream substitute, sugar free, flavored, liquid",
"12210400.0","CREAM SUBSTITUTE, POWDERED","Cream substitute, powdered",
"12210410.0","CREAM SUBST, LIGHT, POWDERED (INCL COFFEE MATE, CRE","Cream substitute, light, powdered",
"12210420.0","CREAM SUBSTITUTE, FLAVORED, POWDERED","Cream substitute, flavored, powdered",
"12210430.0","CREAM SUBSTITUTE, FAT FREE, POWDER","Cream substitute, fat free, powder",
"12210440.0","CREAM SUBSTITUTE, FAT FREE, FLAVORED, POWDER","Cream substitute, fat free, flavored, powder",
"12210500.0","CREAM SUBSTITUTE, SUGAR FREE, POWDER","Cream substitute, sugar free, powder",
"12210505.0","CREAM SUBSTITUTE, SUGAR FREE, FLAVORED, POWDER","Cream substitute, sugar free, flavored, powder",
"12220000.0","WHIPPED TOPPING, NONDAIRY, NS AS TO CND/FRZ/POWDER","Whipped topping, nondairy, NS as to canned, frozen, or made from powdered mix",
"12220100.0","WHIPPED TOPPING, NONDAIRY, PRESSURIZED CAN","Whipped topping, nondairy, pressurized can",
"12220200.0","WHIPPED TOPPING, NONDAIRY, FROZEN (INCL COOL WHIP)","Whipped topping, nondairy, frozen",
"12220250.0","WHIPPED TOPPING, NONDAIRY, FZN, LOWFAT (INCL COOL)","Whipped topping, nondairy, frozen, lowfat",
"12220270.0","WHIPPED TOPPING, NONDAIRY, FROZEN, FAT FREE","Whipped topping, nondairy, frozen, fat free",
"12220280.0","WHIPPED TOPPING, NONDAIRY, FROZEN, SUGAR FREE","Whipped topping, nondairy, frozen, sugar free",
"12220300.0","WHIPPED CREAM SUBST, NONDAIRY, FROM POWDERED MIX","Whipped cream substitute, nondairy, made from powdered mix",
"12220400.0","WHIP CREAM SUB,NONDAIRY,LOWFAT,LO SUGAR,FROM MIX","Whipped cream substitute, nondairy, lowfat, low sugar, made from powdered mix",
"12310100.0","SOUR CREAM (INCL W/ CHIVES)","Sour cream",
"12310200.0","SOUR CREAM, HALF & HALF","Sour cream, half and half",
"12310300.0","SOUR CREAM, REDUCED FAT","Sour cream, reduced fat",
"12310350.0","SOUR CREAM, LIGHT","Sour cream, light",
"12310370.0","SOUR CREAM, FAT FREE","Sour cream, fat free",
"12320100.0","SOUR CREAM, IMITATION","Sour cream, imitation (nondairy)",
"12320200.0","SOUR CREAM, FILLED, SOUR DRESSING, NONBUTTERFAT","Sour cream, filled, sour dressing, nonbutterfat",
"12350000.0","DIP, SOUR CREAM BASE (INCLUDE BUTTERMILK-TYPE DIP)","Dip, sour cream base",
"12350020.0","DIP, SOUR CREAM BASE, REDUCED CALORIE","Dip, sour cream base, reduced calorie",
"12350100.0","SPINACH DIP","Spinach dip",
"12350110.0","SPINACH AND ARTICHOKE DIP","Spinach and artichoke dip",
"13110000.0","ICE CREAM, NFS","Ice cream, NFS",
"13110100.0","ICE CREAM, REGULAR, NOT CHOCOLATE","Ice cream, regular, flavors other than chocolate",
"13110110.0","ICE CREAM, REGULAR, CHOCOLATE","Ice cream, regular, chocolate",
"13110120.0","ICE CREAM, RICH, FLAVORS OTHER THAN CHOCOLATE","Ice cream, rich, flavors other than chocolate",
"13110130.0","ICE CREAM, RICH, CHOCOLATE","Ice cream, rich, chocolate",
"13110140.0","ICE CREAM, RICH, NS AS TO FLAVOR","Ice cream, rich, NS as to flavor",
"13110200.0","ICE CREAM, SOFT SERVE, NOT CHOCOLATE","Ice cream, soft serve, flavors other than chocolate",
"13110210.0","ICE CREAM, SOFT SERVE, CHOCOLATE","Ice cream, soft serve, chocolate",
"13110220.0","ICE CREAM, SOFT SERVE, NS AS TO FLAVOR","Ice cream, soft serve, NS as to flavor",
"13110310.0","ICE CREAM, NO SUGAR ADDED, NS AS TO FLAVOR","Ice cream, no sugar added, NS as to flavor",
"13110320.0","ICE CREAM, NO SUGAR ADDED, FLAVORS OTHER THAN CHOCOLATE","Ice cream, no sugar added, flavors other than chocolate",
"13110330.0","ICE CREAM, NO SUGAR ADDED, CHOCOLATE","Ice cream, no sugar added, chocolate",
"13120050.0","ICE CREAM BAR OR STICK, NOT CHOC- OR CAKE-COVERED","Ice cream bar or stick, not chocolate covered or cake covered",
"13120100.0","ICE CREAM BAR/STICK, CHOCOLATE COVERED","Ice cream bar or stick, chocolate covered",
"13120110.0","ICE CREAM BAR, CHOCOLATE/CARAMEL COVERED, W/ NUTS","Ice cream bar or stick, chocolate or caramel covered, with nuts",
"13120120.0","ICE CREAM BAR,RICH CHOC ICE CREAM,THICK CHOC COVER","Ice cream bar or stick, rich chocolate ice cream, thick chocolate covering",
"13120121.0","ICE CREAM BAR,RICH ICE CREAM,THICK CHOC COVER","Ice cream bar or stick, rich ice cream, thick chocolate covering",
"13120130.0","ICE CREAM BAR/STICK,RICH ICE CREAM,CHOC COVER,W/NUT","Ice cream bar or stick, rich ice cream, chocolate covered, with nuts",
"13120140.0","ICE CREAM BAR/STICK, CHOC ICE CREAM, CHOC COVER","Ice cream bar or stick, chocolate ice cream, chocolate covered",
"13120300.0","ICE CREAM BAR, CAKE-COVERED","Ice cream bar, cake covered",
"13120310.0","ICE CREAM BAR, STICK OR NUGGET, WITH CRUNCH COATING","Ice cream bar, stick or nugget, with crunch coating",
"13120400.0","ICE CREAM BAR/STICK W/ FRUIT","Ice cream bar or stick with fruit",
"13120500.0","ICE CREAM SANDWICH","Ice cream sandwich",
"13120550.0","ICE CREAM COOKIE SANDWICH (INCLUDE CHIPWICH)","Ice cream cookie sandwich",
"13120700.0","ICE CREAM CONE, W/ NUTS, NOT CHOCOLATE","Ice cream cone with nuts, flavors other than chocolate",
"13120710.0","ICE CREAM CONE, CHOC-COVERED, W/ NUTS, NOT CHOC","Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",
"13120720.0","ICE CREAM CONE, CHOC-COVERED OR DIPPED, NOT CHOC","Ice cream cone, chocolate covered or dipped, flavors other than chocolate",
"13120730.0","ICE CREAM CONE, NO TOPPING, NOT CHOCOLATE","Ice cream cone, no topping, flavors other than chocolate",
"13120740.0","ICE CREAM CONE, NO TOPPING, NS AS TO FLAVOR","Ice cream cone, no topping, NS as to flavor",
"13120750.0","ICE CREAM CONE, W/NUTS, CHOCOLATE ICE CREAM","Ice cream cone with nuts, chocolate ice cream",
"13120760.0","ICE CREAM CONE, CHOC-COVERED, CHOC ICE CREAM","Ice cream cone, chocolate covered or dipped, chocolate ice cream",
"13120770.0","ICE CREAM CONE, NO TOPPING, CHOCOLATE ICE CREAM","Ice cream cone, no topping, chocolate ice cream",
"13120780.0","ICE CREAM CONE, CHOC-COVERED, W/NUT, CHOC ICE CREAM","Ice cream cone, chocolate covered, with nuts, chocolate ice cream",
"13120790.0","ICE CREAM SUNDAE CONE (INCL DRUMSTICK, ALL FLAVORS)","Ice cream sundae cone",
"13120800.0","ICE CREAM SODA, NOT CHOCOLATE","Ice cream soda, flavors other than chocolate",
"13120810.0","ICE CREAM SODA, CHOCOLATE","Ice cream soda, chocolate",
"13121000.0","ICE CREAM SUNDAE, TOPPING NS, W/ WHIPPED CREAM","Ice cream sundae, NS as to topping, with whipped cream",
"13121100.0","ICE CREAM SUNDAE, FRUIT TOPPING, W/ WHIPPED CREAM","Ice cream sundae, fruit topping, with whipped cream",
"13121200.0","ICE CREAM SUNDAE, PREPACKAGED, NOT CHOCOLATE","Ice cream sundae, prepackaged type, flavors other than chocolate",
"13121300.0","ICE CREAM SUNDAE,CHOCOLATE TOPPING,W/ WHIPPED CREAM","Ice cream sundae, chocolate or fudge topping, with whipped cream",
"13121400.0","ICE CREAM SUNDAE, NOT FRUIT/ CHOC TOP,W/ WHIP CREAM","Ice cream sundae, not fruit or chocolate topping, with whipped cream",
"13121500.0","ICE CREAM SUNDAE, FUDGE TOPPING, W/ CAKE","Ice cream sundae, fudge topping, with cake, with whipped cream",
"13122100.0","ICE CREAM PIE, NO CRUST","Ice cream pie, no crust",
"13122500.0","ICE CREAM PIE,COOKIE CRUST,FUDGE TOPPING,WHIP CREAM","Ice cream pie, with cookie crust, fudge topping, and whipped cream",
"13126000.0","ICE CREAM, FRIED","Ice cream, fried",
"13127000.0","DIPPIN' DOTS, ICE CREAM, FLAVORS OTHER THAN CHOCOLATE","Dippin' Dots, flash frozen ice cream snacks, flavors other than chocolate",
"13127010.0","DIPPIN' DOTS, ICE CREAM, CHOCOLATE","Dippin' Dots, flash frozen ice cream snacks, chocolate",
"13130100.0","LT ICE CREAM, NS FLAV ( ICE MILK)","Light ice cream, NS as to flavor (formerly ice milk)",
"13130300.0","LIGHT ICE CREAM,NOT CHOCOLATE (FORMERLY ICE MILK)","Light ice cream, flavors other than chocolate (formerly ice milk)",
"13130310.0","LIGHT ICE CREAM,CHOCOLATE (FORMERLY ICE MILK)","Light ice cream, chocolate (formerly ice milk)",
"13130320.0","LIGHT ICE CREAM, NO SUGAR ADDED, NS AS TO FLAVOR","Light ice cream, no sugar added, NS as to flavor",
"13130330.0","LIGHT ICE CREAM, NO SUGAR ADDED, NOT CHOCOLATE","Light ice cream, no sugar added, flavors other than chocolate",
"13130340.0","LIGHT ICE CREAM, NO SUGAR ADDED, CHOCOLATE","Light ice cream, no sugar added, chocolate",
"13130590.0","LIGHT ICE CREAM,SOFT SERVE, NS FLAVOR (FORMERLY ICE MILK)","Light ice cream, soft serve, NS as to flavor (formerly ice milk)",
"13130600.0","LIGHT ICE CREAM,SOFT SERVE, NOT CHOC (FORMERLY ICE MILK)","Light ice cream, soft serve, flavors other than chocolate (formerly ice milk)",
"13130610.0","LIGHT ICE CREAM,SOFT SERVE CHOC (TASTEE FRZ, DAIRY QUEEN)","Light ice cream, soft serve, chocolate (formerly ice milk)",
"13130620.0","LIGHT ICE CREAM,SOFT SERVE CONE,NOT CHOC (DAIRY QUEEN)","Light ice cream, soft serve cone, flavors other than chocolate (formerly ice milk)",
"13130630.0","LIGHT ICE CREAM,SOFT SERVE CONE, CHOC (FORMERLY ICE MILK)","Light ice cream, soft serve cone, chocolate (formerly ice milk)",
"13130640.0","LIGHT ICE CREAM,SOFT SERVE CONE, NS FLAV(FORMERLY ICE MILK)","Light ice cream, soft serve cone, NS as to flavor (formerly ice milk)",
"13130700.0","LIGHT ICE CREAM, SOFT SERVE, BLENDED W/ CANDY OR COOKIES","Light ice cream, soft serve, blended with candy or cookies",
"13135000.0","ICE CREAM SANDWICH, MADE W/ LIGHT ICE CREAM, NOT CHOCOLATE","Ice cream sandwich, made with light ice cream, flavors other than chocolate",
"13135010.0","ICE CREAM SANDWICH, MADE W/ LIGHT CHOCOLATE ICE CREAM","Ice cream sandwich, made with light chocolate ice cream",
"13136000.0","ICE CREAM SANDWICH, MADE W/ LIGHT, NO SUGAR ADDED ICE CREAM","Ice cream sandwich, made with light, no sugar added ice cream",
"13140100.0","LIGHT ICE CREAM,BAR/STICK, CHOC-COATED (FORMERLY ICE MILK)","Light ice cream, bar or stick, chocolate-coated (formerly ice milk)",
"13140110.0","LIGHT ICE CREAM,BAR, CHOC COVERED,W/NUTS (FORMERLY ICE MILK)","Light ice cream, bar or stick, chocolate covered, with nuts (formerly ice milk)",
"13140450.0","LIGHT ICE CREAM,CONE, NFS (FORMERLY ICE MILK)","Light ice cream, cone, NFS (formerly ice milk)",
"13140500.0","LIGHT ICE CREAM,CONE, NOT CHOCOLATE (FORMERLY ICE MILK)","Light ice cream, cone, flavors other than chocolate (formerly ice milk)",
"13140550.0","LIGHT ICE CREAM,CONE, CHOCOLATE (FORMERLY ICE MILK)","Light ice cream, cone, chocolate (formerly ice milk)",
"13140570.0","LIGHT ICE CREAM, NO SUGAR ADDED, CONE, NS AS TO FLAVOR","Light ice cream, no sugar added, cone, NS as to flavor",
"13140575.0","LIGHT ICE CREAM, NO SUGAR ADDED, CONE, NOT CHOC","Light ice cream, no sugar added, cone, flavors other than chocolate",
"13140580.0","LIGHT ICE CREAM, NO SUGAR ADDED, CONE, CHOCOLATE","Light ice cream, no sugar added, cone, chocolate",
"13140600.0","LIGHT ICE CREAM,SUNDAE,SOFT SERVE,CHOC/FUDGE TOP (ICE MILK)","Light ice cream, sundae, soft serve, chocolate or fudge topping, with whipped cream (formerly ice milk)",
"13140630.0","LIGHT ICE CREAM,SUNDAE,SOFT SERVE,FRUIT TOPPING (ICE MILK)","Light ice cream, sundae, soft serve, fruit topping, with whipped cream (formerly ice milk)",
"13140650.0","LIGHT ICE CREAM,SUNDAE,SOFT SERVE,NOT FRUIT/CHOC TOPPING","Light ice cream, sundae, soft serve, not fruit or chocolate topping, with whipped cream (formerly ice milk)",
"13140660.0","LIGHT ICE CREAM,SUNDAE,CHOC / FUDGE TOP (W/O WHIP CREAM)","Light ice cream, sundae, soft serve, chocolate or fudge topping (without whipped cream) (formerly ice milk)",
"13140670.0","LIGHT ICE CREAM,SUNDAE,FRUIT TOP (W/O WHIP CREAM)(ICE MILK)","Light ice cream, sundae, soft serve, fruit topping (without whipped cream) (formerly ice milk)",
"13140680.0","LIGHT ICE CREAM,SUNDAE,NO FRUIT/CHOC TOP (W/O WHIP CREAM)","Light ice cream, sundae, soft serve, not fruit or chocolate topping (without whipped cream) (formerly ice milk)",
"13140700.0","LIGHT ICE CREAM,CREAMSICLE OR DREAMSICLE (FORMERLY ICE MILK)","Light ice cream, creamsicle or dreamsicle (formerly ice milk)",
"13140710.0","LIGHT ICE CREAM, CREAMSICLE OR DREAMSICLE, NO SUGAR ADDED","Light ice cream, creamsicle or dreamsicle, no sugar added",
"13140900.0","LIGHT ICE CREAM,FUDGESICLE (FORMERLY ICE MILK)","Light ice cream, fudgesicle (formerly ice milk)",
"13142000.0","MILK DESSERT BAR/STICK, FROZEN, W/ COCONUT","Milk dessert bar or stick, frozen, with coconut",
"13150000.0","SHERBET, ALL FLAVORS","Sherbet, all flavors",
"13160150.0","FAT FREE ICE CREAM, NO SUGAR ADD, CHOC","Fat free ice cream, no sugar added, chocolate",
"13160160.0","FAT FREE ICE CREAM, NO SUGAR ADD, FLAVORS OTHER THAN CHOC","Fat free ice cream, no sugar added, flavors other than chocolate",
"13160400.0","FAT FREE ICE CREAM, FLAVORS OTHER THAN CHOC","Fat free ice cream, flavors other than chocolate",
"13160410.0","FAT FREE ICE CREAM, CHOC","Fat free ice cream, chocolate",
"13160420.0","FAT FREE ICE CREAM, NS AS TO FLAVOR","Fat free ice cream, NS as to flavor",
"13161000.0","MILK DESSERT BAR, FROZEN, MADE FROM LOWFAT MILK","Milk dessert bar, frozen, made from lowfat milk",
"13161500.0","MILK DESSERT SANDWICH BAR, FROZEN, DIETARY","Milk dessert sandwich bar, frozen, made from lowfat milk",
"13161520.0","MILK DESSERT SANDWICH BAR,FRZ,W/LOW-CAL SWEET,LOFAT","Milk dessert sandwich bar, frozen, with low-calorie sweetener, made from lowfat milk",
"13161600.0","MILK DES BAR, FROZEN, LOFAT MILK&LO CAL SWEETENER","Milk dessert bar, frozen, made from lowfat milk and low calorie sweetener",
"13161630.0","LIGHT ICE CREAM,BAR/STICK, W/ LOW-CAL SWEETENER, CHOC COAT","Light ice cream, bar or stick, with low-calorie sweetener, chocolate-coated (formerly ice milk)",
"13170000.0","BAKED ALASKA","Baked Alaska",
"13200110.0","PUDDING, NFS","Pudding, NFS",
"13210110.0","PUDDING, BREAD (INCLUDE W/ RAISINS)","Pudding, bread",
"13210150.0","PUERTO RICAN BREAD PUDDING MADE WITH EVAPORATED MILK","Puerto Rican bread pudding made with evaporated milk",
"13210160.0","DIPLOMAT PUDDING, P.R. (BUDIN DIPLOMATICO)","Diplomat pudding, Puerto Rican style (Budin Diplomatico)",
"13210180.0","PUDDING, MEXICAN BREAD (CAPIROTADA)","Pudding, Mexican bread (Capirotada)",
"13210190.0","PUDDING, MEXICAN BREAD (CAPIROTADA), LOWER FAT","Pudding, Mexican bread (Capirotada), lower fat",
"13210220.0","PUDDING, CHOCOLATE, NS AS TO FROM DRY MIX/RTE","Pudding, chocolate, NS as to from dry mix or ready-to-eat",
"13210250.0","PUDDING, CHOC, LO CAL, W/ART SWTNER, NS DRY/RTE","Pudding, chocolate, low calorie, containing artificial sweetener, NS as to from dry mix or ready-to-eat",
"13210260.0","RICE FLOUR CREAM, P.R.STYLE (MANJAR BLANCO)","Rice flour cream, Puerto Rican style (manjar blanco)",
"13210270.0","CUSTARD, P.R. (MAICENA, NATILLA)","Custard, Puerto Rican style (Maicena, Natilla)",
"13210280.0","PUDDING, NOT CHOC, NS FROM DRY OR RTE","Pudding, flavors other than chocolate, NS as to from dry mix or ready-to-eat",
"13210290.0","PUDDING, NOT CHOC, LO CAL, W/ART SWTNER, NS DRY MIX OR RTE","Pudding, flavors other than chocolate, low calorie, containing artificial sweetener, NS as to from dry mix or ready-to-eat",
"13210300.0","CUSTARD","Custard",
"13210350.0","FLAN","Flan",
"13210410.0","PUDDING, RICE","Pudding, rice",
"13210450.0","PUDDING, RICE FLOUR, W/ NUTS (INDIAN DESSERT)","Pudding, rice flour, with nuts (Indian dessert)",
"13210500.0","PUDDING, TAPIOCA,MADE FROM HOME RECIPE, MADE W/ MILK","Pudding, tapioca, made from home recipe, made with milk",
"13210520.0","PUDDING, TAPIOCA,MADE FROM DRY MIX,MADE W/ MILK","Pudding, tapioca, made from dry mix, made with milk",
"13210530.0","PUDDING, TAPIOCA,CHOCOLATE,MADE W/ MILK","Pudding, tapioca, chocolate, made with milk",
"13210610.0","PUDDING, COCONUT","Pudding, coconut",
"13210710.0","PUDDING, INDIAN (MILK, MOLASSES, CORNMEAL-BASED)","Pudding, Indian (milk, molasses and cornmeal-based pudding)",
"13210750.0","PUDDING, PUMPKIN","Pudding, pumpkin",
"13210810.0","P.R. PUMPKIN PUDDING (FLAN DE CALABAZA)","Puerto Rican pumpkin pudding (Flan de calabaza)",
"13210820.0","FRESH CORN CUSTARD, PUERTO RICAN STYLE","Fresh corn custard, Puerto Rican style (Mazamorra, Mundo Nuevo)",
